transaction_date,store_id,store_size,location_type,promotion_type,is_weekend,is_festival,competition_density,items_sold
2022-01-01,28,small,semi-urban,free_gift,1,0,5,224
2022-01-01,5,medium,semi-urban,free_gift,1,1,1,348
2022-01-02,13,small,semi-urban,loyalty_points,1,0,6,249
2022-01-02,17,small,urban,free_gift,1,0,7,259
2022-01-03,50,medium,semi-urban,bogo,0,0,3,277
2022-01-03,40,large,urban,category_offer,0,1,4,411
2022-01-04,45,small,semi-urban,free_gift,0,0,3,193
2022-01-04,32,medium,rural,flat_discount,0,0,1,240
2022-01-05,29,large,urban,free_gift,0,0,8,305
2022-01-05,3,small,rural,loyalty_points,0,0,2,181
2022-01-06,40,medium,urban,bogo,0,0,1,331
2022-01-07,34,medium,semi-urban,bogo,0,0,8,255
2022-01-08,40,medium,rural,flat_discount,1,0,7,270
2022-01-09,27,small,urban,flat_discount,1,1,7,359
2022-01-10,13,medium,urban,bogo,0,0,4,271
2022-01-10,45,large,semi-urban,free_gift,0,0,9,274
2022-01-11,33,medium,urban,flat_discount,0,0,6,334
2022-01-11,6,small,semi-urban,loyalty_points,0,0,2,166
2022-01-11,24,large,rural,category_offer,0,0,1,237
2022-01-12,19,small,semi-urban,free_gift,0,0,1,190
2022-01-12,16,medium,urban,category_offer,0,0,9,271
2022-01-13,40,small,semi-urban,flat_discount,0,0,4,229
2022-01-14,28,large,semi-urban,free_gift,0,0,5,276
2022-01-15,33,medium,urban,category_offer,1,0,3,293
2022-01-15,48,medium,semi-urban,category_offer,1,0,4,280
2022-01-16,41,small,semi-urban,category_offer,1,0,8,186
2022-01-17,13,medium,semi-urban,bogo,0,0,4,276
2022-01-18,43,large,urban,loyalty_points,0,1,9,384
2022-01-18,45,large,semi-urban,flat_discount,0,0,9,251
2022-01-20,25,medium,urban,loyalty_points,0,0,6,213
2022-01-21,42,medium,urban,loyalty_points,0,0,2,303
2022-01-22,36,medium,rural,flat_discount,1,0,7,253
2022-01-23,27,large,semi-urban,category_offer,1,0,9,331
2022-01-23,38,medium,urban,flat_discount,1,0,6,328
2022-01-25,7,medium,urban,bogo,0,0,3,306
2022-01-25,5,medium,urban,free_gift,0,0,7,279
2022-01-25,43,medium,urban,free_gift,0,0,5,252
2022-01-27,45,small,urban,loyalty_points,0,0,1,230
2022-01-27,31,medium,urban,category_offer,0,0,3,261
2022-01-28,23,medium,semi-urban,free_gift,0,0,5,206
2022-01-28,42,large,semi-urban,category_offer,0,0,7,272
2022-01-29,10,small,semi-urban,loyalty_points,1,0,3,224
2022-01-29,32,medium,semi-urban,flat_discount,1,0,6,293
2022-01-29,43,medium,urban,loyalty_points,1,0,5,269
2022-01-29,30,medium,rural,flat_discount,1,0,1,326
2022-02-01,39,small,rural,category_offer,0,0,6,183
2022-02-03,31,medium,rural,bogo,0,0,8,260
2022-02-03,18,medium,rural,flat_discount,0,0,1,234
2022-02-03,36,medium,rural,bogo,0,0,2,210
2022-02-04,2,medium,semi-urban,category_offer,0,0,4,281
2022-02-04,14,medium,urban,bogo,0,0,2,312
2022-02-05,13,large,semi-urban,flat_discount,1,0,9,309
2022-02-06,29,small,semi-urban,free_gift,1,0,8,246
2022-02-06,12,large,semi-urban,loyalty_points,1,0,8,325
2022-02-07,39,medium,semi-urban,bogo,0,0,4,272
2022-02-07,2,small,urban,flat_discount,0,0,5,281
2022-02-08,32,small,urban,bogo,0,0,4,295
2022-02-08,13,medium,rural,flat_discount,0,0,9,191
2022-02-09,46,large,semi-urban,category_offer,0,0,2,262
2022-02-10,27,medium,semi-urban,category_offer,0,0,8,244
2022-02-10,49,large,urban,free_gift,0,0,2,256
2022-02-10,41,medium,urban,bogo,0,0,1,313
2022-02-11,17,medium,rural,category_offer,0,0,3,175
2022-02-11,40,small,semi-urban,free_gift,0,0,9,176
2022-02-12,31,medium,rural,category_offer,1,0,3,248
2022-02-16,34,medium,semi-urban,category_offer,0,0,9,209
2022-02-16,24,small,semi-urban,category_offer,0,0,7,170
2022-02-16,45,small,urban,free_gift,0,0,1,219
2022-02-16,35,medium,semi-urban,bogo,0,1,5,407
2022-02-16,48,medium,semi-urban,loyalty_points,0,0,9,254
2022-02-17,6,large,semi-urban,free_gift,0,0,3,256
2022-02-20,19,large,semi-urban,free_gift,1,0,9,352
2022-02-20,30,medium,rural,flat_discount,1,0,5,265
2022-02-20,7,medium,urban,free_gift,1,0,9,311
2022-02-22,10,medium,rural,free_gift,0,0,6,210
2022-02-23,41,large,urban,flat_discount,0,0,9,301
2022-02-23,32,small,semi-urban,flat_discount,0,0,7,233
2022-02-24,34,medium,urban,free_gift,0,1,7,352
2022-02-24,28,large,urban,category_offer,0,0,8,284
2022-02-24,15,medium,semi-urban,free_gift,0,0,7,201
2022-02-25,30,medium,urban,flat_discount,0,1,9,335
2022-02-27,37,medium,semi-urban,category_offer,1,0,9,221
2022-02-28,29,small,rural,flat_discount,0,0,6,187
2022-03-02,22,medium,urban,bogo,0,0,7,269
2022-03-02,4,medium,rural,flat_discount,0,0,2,232
2022-03-02,20,small,semi-urban,flat_discount,0,1,9,317
2022-03-03,32,small,semi-urban,flat_discount,0,1,1,336
2022-03-03,36,large,urban,bogo,0,0,1,356
2022-03-04,50,small,urban,flat_discount,0,0,3,253
2022-03-04,4,medium,urban,bogo,0,0,6,348
2022-03-06,27,small,urban,free_gift,1,0,5,293
2022-03-08,17,large,urban,free_gift,0,0,2,315
2022-03-10,12,small,semi-urban,bogo,0,0,9,182
2022-03-10,22,medium,rural,loyalty_points,0,1,4,287
2022-03-10,17,large,rural,flat_discount,0,1,4,373
2022-03-14,10,large,semi-urban,free_gift,0,0,5,264
2022-03-16,1,small,urban,flat_discount,0,0,8,248
2022-03-16,22,large,urban,flat_discount,0,0,4,323
2022-03-16,26,medium,urban,free_gift,0,0,5,270
2022-03-16,18,medium,urban,free_gift,0,0,4,215
2022-03-17,50,small,semi-urban,loyalty_points,0,0,6,171
2022-03-19,14,small,semi-urban,free_gift,1,0,3,275
2022-03-19,47,medium,urban,loyalty_points,1,0,8,275
2022-03-21,29,medium,urban,flat_discount,0,0,6,288
2022-03-22,12,medium,rural,flat_discount,0,1,5,291
2022-03-23,36,medium,rural,flat_discount,0,0,2,248
2022-03-24,35,large,urban,flat_discount,0,0,7,318
2022-03-27,12,small,rural,free_gift,1,0,2,205
2022-03-28,7,medium,rural,category_offer,0,0,1,250
2022-03-29,29,small,urban,flat_discount,0,1,7,347
2022-03-30,11,large,urban,loyalty_points,0,0,5,279
2022-03-31,33,medium,semi-urban,loyalty_points,0,0,1,244
2022-03-31,6,large,rural,bogo,0,0,4,301
2022-03-31,47,small,rural,flat_discount,0,0,4,209
2022-04-01,15,small,urban,flat_discount,0,0,7,201
2022-04-02,32,small,urban,flat_discount,1,0,9,308
2022-04-03,11,small,semi-urban,flat_discount,1,0,2,254
2022-04-04,23,small,semi-urban,free_gift,0,0,1,203
2022-04-05,26,large,urban,flat_discount,0,0,2,404
2022-04-05,34,small,rural,bogo,0,0,7,206
2022-04-05,46,small,semi-urban,loyalty_points,0,0,6,167
2022-04-06,34,large,rural,category_offer,0,0,4,192
2022-04-06,29,medium,rural,loyalty_points,0,0,1,241
2022-04-06,4,large,semi-urban,flat_discount,0,1,1,353
2022-04-08,17,small,semi-urban,bogo,0,0,5,204
2022-04-08,35,medium,semi-urban,free_gift,0,0,1,243
2022-04-09,13,small,urban,flat_discount,1,0,7,324
2022-04-09,41,small,semi-urban,flat_discount,1,0,1,291
2022-04-09,39,large,urban,category_offer,1,0,1,358
2022-04-12,15,small,semi-urban,category_offer,0,0,2,206
2022-04-13,29,medium,urban,bogo,0,0,3,295
2022-04-14,29,medium,urban,free_gift,0,0,1,290
2022-04-14,11,medium,urban,bogo,0,0,9,294
2022-04-15,32,large,urban,flat_discount,0,0,8,345
2022-04-17,2,small,semi-urban,bogo,1,0,5,299
2022-04-18,47,medium,semi-urban,flat_discount,0,0,2,276
2022-04-19,14,large,semi-urban,flat_discount,0,0,5,285
2022-04-19,20,medium,urban,loyalty_points,0,1,6,350
2022-04-21,22,large,urban,free_gift,0,0,1,324
2022-04-21,11,small,urban,category_offer,0,0,4,200
2022-04-21,27,medium,urban,bogo,0,0,9,282
2022-04-23,3,small,rural,bogo,1,0,2,261
2022-04-23,17,medium,urban,flat_discount,1,0,5,357
2022-04-24,44,large,urban,flat_discount,1,0,1,382
2022-04-25,28,small,urban,flat_discount,0,0,4,222
2022-04-27,29,medium,urban,category_offer,0,0,4,269
2022-04-27,21,small,semi-urban,category_offer,0,0,6,189
2022-04-28,47,medium,semi-urban,free_gift,0,0,9,232
2022-04-28,16,medium,urban,free_gift,0,0,3,303
2022-04-30,37,large,urban,loyalty_points,1,0,9,353
2022-05-02,20,medium,urban,flat_discount,0,0,6,272
2022-05-03,6,medium,urban,bogo,0,0,7,283
2022-05-06,19,small,urban,bogo,0,0,2,247
2022-05-06,5,small,rural,category_offer,0,0,6,179
2022-05-07,3,small,semi-urban,loyalty_points,1,0,6,258
2022-05-08,1,small,semi-urban,flat_discount,1,0,2,261
2022-05-08,38,large,semi-urban,loyalty_points,1,0,2,307
2022-05-08,15,medium,semi-urban,loyalty_points,1,0,2,310
2022-05-10,34,medium,semi-urban,flat_discount,0,0,1,279
2022-05-10,35,small,semi-urban,bogo,0,0,5,240
2022-05-11,49,large,semi-urban,bogo,0,0,8,271
2022-05-11,25,medium,urban,loyalty_points,0,0,2,280
2022-05-11,24,small,semi-urban,flat_discount,0,0,5,191
2022-05-12,12,medium,semi-urban,category_offer,0,0,8,192
