age,annual_spend,visits_per_month,basket_size,days_since_last_visit,num_categories_purchased
30,43075,9,2080,45,6
19,14496,11,454,8,3
43,57632,6,2144,16,4
30,15629,10,801,0,2
19,14901,16,396,17,1
46,54692,10,2593,50,4
35,26579,8,2694,51,3
22,9158,14,591,6,1
18,20782,10,571,11,2
40,29838,11,930,11,4
20,9403,16,478,0,3
62,98014,2,5156,56,8
41,58697,9,1417,45,4
31,18494,16,877,2,3
37,40544,11,1433,17,3
44,35928,7,1192,14,4
43,50063,6,1497,43,4
25,24491,19,716,18,3
59,98677,4,7062,161,9
48,32549,6,1682,23,6
44,46673,10,1965,37,4
49,35367,7,1432,13,5
56,67796,3,4220,54,6
42,37122,10,1377,51,3
25,8712,18,463,13,2
46,37282,8,1821,53,3
39,44010,5,2035,26,5
59,75583,4,6815,61,8
23,8854,16,878,9,3
48,84657,1,3684,51,8
38,27402,11,2227,54,4
46,30943,8,2964,13,5
35,35382,6,2787,45,5
68,107452,1,6652,162,9
25,9315,10,509,6,1
63,104494,3,7180,152,7
42,47437,5,2079,39,6
28,14431,11,578,19,3
51,98892,1,4966,101,9
29,15156,10,459,3,3
32,27155,10,1988,38,6
26,23066,16,654,4,3
47,35686,11,1274,19,4
57,76457,3,5031,101,6
23,24157,19,563,11,3
18,17721,13,894,11,1
22,9878,16,654,12,3
29,8977,10,370,1,3
47,59813,6,1612,24,4
24,7379,19,854,10,3
23,16289,18,501,6,2
50,68001,2,7939,54,6
31,14580,13,891,12,2
41,48958,9,984,11,5
56,91644,3,4080,40,8
30,21829,13,395,7,3
27,16336,13,231,9,1
21,5111,15,354,3,1
53,108322,3,6219,59,8
30,17495,14,623,7,3
44,31654,10,2217,53,5
61,79874,4,6775,142,6
61,83908,4,7637,139,9
35,50476,7,1974,48,4
21,17420,18,412,17,2
24,12169,12,819,10,2
32,28134,11,1513,15,4
31,21246,14,528,11,2
64,92046,3,5285,62,6
35,38919,6,2141,18,5
48,48574,9,2210,54,5
47,56369,7,1133,52,4
66,80681,4,6097,113,7
57,113106,3,3152,106,8
69,72393,1,4004,159,8
47,115723,4,4303,165,9
67,82787,4,3129,102,8
31,20827,12,269,0,3
30,45113,11,1710,58,3
45,56286,11,2817,51,5
29,19178,10,741,10,2
30,14497,18,311,15,3
48,59961,10,978,28,5
68,69560,3,7649,113,8
68,86141,4,5964,101,6
30,11995,19,796,19,2
52,66076,4,4149,42,9
43,48386,8,1653,40,5
59,65892,3,5742,60,7
61,117977,4,6512,72,7
33,40340,7,1646,38,3
31,38448,6,2288,47,6
42,36258,5,2745,51,3
60,99311,1,6126,90,9
41,30495,9,2993,13,5
30,46125,11,2035,13,4
29,20752,18,747,2,2
24,18257,19,891,12,2
40,41775,10,1492,54,6
31,8892,19,791,16,2
57,61130,2,4024,174,7
30,39781,5,2283,33,6
24,22066,10,707,3,3
47,96989,3,3686,178,9
69,90614,3,6811,61,8
25,9522,10,344,17,2
64,107482,4,4701,81,8
58,64470,2,4643,111,6
56,77412,1,5892,51,6
29,23581,11,662,15,2
24,9799,10,469,17,1
44,42667,6,2232,36,5
36,47310,7,1499,55,6
30,22809,17,745,4,2
47,49406,6,2559,57,3
48,67263,2,3641,178,7
60,64190,4,3281,80,8
49,105969,2,4265,89,6
30,9251,18,495,7,2
24,7882,14,307,17,3
62,115734,4,3366,32,8
48,99235,4,5227,35,7
45,91533,1,3349,139,6
20,20133,12,809,12,2
58,87571,3,7703,36,8
51,97449,4,7942,101,8
39,31242,8,1453,14,3
61,118168,4,4649,81,7
25,15531,19,839,6,3
69,74012,4,5732,163,6
19,21686,16,375,18,3
24,6436,13,534,8,1
44,45710,6,1623,32,3
67,106264,1,5959,98,8
26,8766,16,575,2,2
28,7551,12,549,2,2
54,99427,4,3700,154,9
30,13352,10,693,9,3
24,8249,17,473,2,3
45,100821,1,3533,177,9
22,23179,15,484,9,3
65,104308,3,4775,37,8
40,43518,10,1604,19,6
18,15041,16,437,4,1
67,104704,4,7182,51,7
67,110139,1,3401,65,8
21,18180,10,497,10,2
62,75064,4,4252,165,6
49,113121,2,7789,167,7
37,28487,10,1069,54,3
26,11474,17,333,0,3
20,18218,11,774,8,3
27,21668,19,485,15,3
23,19008,16,344,12,1
44,39201,6,2310,26,5
46,38335,7,1614,50,5
30,14965,18,326,13,3
51,66659,3,7111,82,8
33,27846,7,1878,25,4
28,12699,18,885,12,1
25,21002,10,615,11,2
50,89190,3,6755,41,6
30,54425,7,2741,59,4
25,17942,17,849,6,3
32,35985,7,1011,57,6
38,44952,10,2001,16,3
25,13469,15,503,12,3
31,16395,16,592,19,2
38,58822,7,998,36,6
31,5038,17,864,10,1
27,17198,18,475,13,3
29,19751,12,855,17,2
32,56653,11,1491,24,6
19,14305,10,283,19,1
26,23483,12,832,4,2
66,64923,2,5086,61,8
42,39795,6,2676,54,4
45,82032,4,3062,122,6
22,21490,14,649,2,3
32,50061,9,1617,49,3
46,45581,7,2548,20,3
65,66967,2,4540,123,6
35,56856,8,1061,58,3
50,95056,4,6649,125,9
30,52977,6,2262,46,6
29,9111,13,288,4,1
42,44514,6,2618,12,6
27,9849,16,683,13,1
51,100605,1,4767,176,8
29,12025,13,883,7,3
34,48100,8,2235,10,4
34,44352,7,2233,28,5
41,27783,10,2191,22,4
49,99069,1,4858,66,6
25,22659,16,273,16,1
53,97822,4,7981,174,7
24,7426,11,743,7,2
18,14364,18,289,11,1
21,13990,17,484,18,3
36,54097,6,2760,44,5
37,41512,11,2857,11,6
22,24558,18,507,13,1
68,82233,2,5502,71,8
29,24775,16,681,1,2
18,6239,15,327,10,3
49,101382,3,6081,116,9
47,104258,1,7517,175,6
30,11470,11,883,7,1
46,45739,8,2678,18,4
35,46677,11,2576,20,3
56,118757,2,7818,126,6
30,15590,18,214,7,3
58,74175,2,5966,149,6
46,77934,4,4373,118,9
52,60663,4,7957,72,8
31,38869,11,1936,57,3
44,30615,10,2988,12,5
62,65620,1,6603,160,6
47,49619,6,2527,27,5
60,106656,2,7477,109,9
46,27787,6,1740,22,5
69,76482,1,7150,136,8
22,22384,11,724,4,1
65,66661,4,6032,112,9
26,21709,11,517,6,1
30,35139,5,1174,47,5
51,77945,4,4653,33,8
35,25968,5,2138,38,5
55,74862,1,7853,125,7
26,24115,10,670,6,2
20,9857,11,856,1,2
24,13830,17,382,9,1
46,44928,6,1130,49,3
21,6374,19,265,0,2
36,54814,9,1281,35,3
33,44050,6,1340,30,3
35,33793,11,2217,39,6
30,5425,13,266,15,3
28,10362,13,459,19,1
69,81325,3,6410,123,9
45,50602,8,2297,49,4
54,110467,4,4008,49,9
37,29370,11,1125,32,3
22,8546,11,562,9,2
47,31452,6,2833,54,6
22,23516,19,718,16,1
21,10381,19,299,10,3
22,23102,19,803,11,1
69,63449,1,5364,67,6
30,8006,10,368,5,2
43,48461,10,1245,40,3
67,91066,2,5372,124,6
39,32622,9,1035,21,4
47,60510,3,3314,67,7
57,114063,2,6329,175,8
48,58805,6,1479,29,4
30,19497,14,340,8,3
39,29499,9,1975,47,6
24,23915,12,360,14,2
37,52256,11,1009,50,5
52,101232,1,4299,90,9
26,22037,14,518,8,2
49,42788,8,2991,59,4
19,16637,13,878,3,2
18,11856,14,416,14,3
69,65441,3,4154,144,9
36,51804,8,2426,50,4
21,15757,16,257,11,2
42,37775,9,1797,27,6
24,8123,11,832,4,3
55,75303,3,6153,170,7
52,85534,3,5135,171,7
68,77800,1,6269,38,6
63,76225,4,3370,154,6
53,93181,4,3949,169,6
43,47580,6,2168,18,3
34,45614,10,2167,51,3
43,46760,10,1937,18,4
49,80343,3,7897,31,7
21,13700,13,678,3,2
61,67141,1,5941,63,6
54,91115,3,5487,43,7
46,53704,10,1295,16,6
59,61238,2,6368,166,7
21,18980,13,487,14,2
48,37321,11,2586,20,5
45,97649,3,3339,142,7
46,45748,10,1851,58,5
35,48653,10,2100,49,4
49,108786,2,4421,50,7
35,25658,11,2069,57,4
61,85028,4,6558,148,8
49,27920,5,2263,17,4
47,58971,11,2142,38,4
30,21312,11,813,5,3
46,82821,4,7643,66,7
68,81587,4,5296,72,9
45,43681,5,2501,22,5
47,59062,5,2891,24,6
39,53936,9,2341,59,6
33,29073,9,2057,59,6
57,71723,3,3675,77,7
62,70051,3,7145,110,9
24,11566,11,536,12,3
21,10235,19,367,6,2
45,72416,1,4983,63,8
66,79158,4,4667,37,8
48,84668,1,3019,141,9
25,12693,10,887,19,3
27,24618,16,333,5,1
46,45396,8,2486,35,4
66,91952,4,7785,149,7
47,44192,9,1929,43,3
41,49085,11,2462,53,3
31,14879,19,567,4,1
57,100153,2,3737,165,7
49,49243,9,2635,22,3
18,18522,11,596,18,2
30,34947,11,1217,31,4
52,115374,1,7456,77,9
19,8911,14,793,6,3
43,36556,6,2694,38,6
21,20942,10,519,4,3
41,30717,11,1986,47,5
20,11834,11,740,12,3
49,101538,4,3723,71,6
29,21950,19,674,1,3
62,65397,3,6716,33,6
45,101443,2,4322,178,8
34,40839,8,2418,57,3
27,8044,10,769,8,2
27,14388,13,250,14,2
21,9768,18,517,14,3
24,15107,17,438,9,1
63,92628,1,3753,133,8
27,12015,14,456,0,2
38,47925,8,2012,49,3
39,48023,8,2313,45,6
66,113675,1,5827,125,8
23,14054,12,733,0,3
31,17076,19,270,9,2
50,110992,4,4628,157,9
45,37875,9,1643,50,4
37,56758,11,2985,26,4
54,87949,4,5990,55,7
26,8830,13,863,15,3
38,37693,11,2098,48,3
38,57407,5,2519,41,6
61,97696,3,5478,172,8
52,72777,2,6314,102,6
45,62118,4,7760,56,9
32,53984,7,1933,36,4
21,13308,13,374,8,2
48,111786,3,3785,160,9
49,31125,7,2123,26,6
28,5770,10,601,16,1
45,94254,1,6521,42,8
36,44571,11,1356,11,5
66,115215,3,7797,70,7
65,115733,4,5802,108,7
23,13490,14,741,11,2
65,75691,2,6051,93,9
53,66109,1,7836,74,7
20,7629,10,415,15,3
27,23544,18,856,1,2
26,9533,16,609,18,2
45,117067,3,6663,65,7
52,92322,2,6524,100,9
69,95200,4,7733,94,6
48,57020,6,1271,24,3
26,14748,17,666,11,2
48,41035,5,2789,35,5
56,82003,3,4212,86,9
65,82578,3,6194,118,8
52,114490,4,6480,43,9
30,11229,14,598,8,1
45,31732,11,1709,46,6
29,19225,15,269,19,3
27,12687,18,292,4,2
18,16120,14,735,5,2
21,10543,12,566,10,2
31,53467,5,1691,21,4
19,12393,19,564,3,3
61,117732,3,5755,172,8
31,41289,11,2382,22,6
22,22441,11,774,9,1
63,80910,1,3956,39,8
30,13988,17,864,8,1
26,23395,15,347,14,3
31,12361,11,428,4,1
42,57818,8,2354,10,4
31,53927,9,1912,43,3
49,28331,7,1141,41,5
59,102677,1,7876,42,8
57,92252,1,7860,66,6
44,33469,10,2184,57,6
47,54075,9,2225,29,4
32,39569,8,2658,13,3
66,99945,2,3061,149,6
52,64710,3,7067,171,7
51,77184,1,3241,124,9
67,102135,3,4135,81,8
40,27669,11,1713,27,6
63,74071,3,6403,49,9
30,50041,10,2234,40,3
49,42536,9,2653,21,5
51,105950,1,5482,144,6
48,52125,5,1725,11,3
64,81705,3,5339,179,9
61,61906,1,5314,160,7
25,16106,10,642,10,2
26,5998,11,375,11,2
46,119757,3,5256,48,7
43,34605,8,2061,28,4
49,75128,3,3657,83,9
54,109192,1,5125,135,7
63,91087,4,6008,115,9
24,22374,11,245,1,2
18,15033,12,722,13,1
49,33598,10,2304,43,3
18,18091,17,857,3,1
44,30151,9,1999,11,3
47,45287,7,2165,49,5
23,15467,19,213,3,2
44,49832,9,2837,27,6
28,10315,15,870,15,3
50,76448,2,6800,142,7
28,9281,13,222,19,2
47,102531,1,5446,50,8
46,59952,7,1639,37,5
40,45917,8,2000,50,5
19,7670,13,364,1,2
40,50287,8,2745,11,3
46,40198,6,1937,42,6
26,7543,15,394,16,3
49,45114,10,2962,57,3
63,77907,1,6790,38,7
50,71719,2,4626,32,9
30,24795,11,527,2,3
50,101095,2,3762,130,6
26,9132,14,286,4,1
43,51190,9,2450,15,4
51,104653,3,5973,101,8
23,9213,16,385,13,3
61,110710,2,6624,172,9
39,44629,11,2076,45,5
30,18582,14,212,7,3
63,94714,4,5980,179,6
46,51547,11,1881,26,5
62,94709,4,5846,64,6
50,94389,2,4442,129,6
18,6401,13,305,14,2
48,55527,5,2086,44,4
25,22878,18,474,12,3
41,55566,5,2720,43,4
46,101098,2,3402,153,9
47,44691,8,2402,17,4
53,110511,1,7144,55,9
44,44322,6,1012,56,6
46,72303,2,5081,144,7
18,24423,13,459,17,1
24,9816,12,623,16,2
21,8065,14,555,5,1
44,48010,5,2999,30,3
60,91040,1,3608,148,6
67,79981,1,4235,171,7
20,12400,15,524,6,3
45,118676,1,7021,157,9
49,37938,10,1919,19,4
21,16480,17,478,0,1
61,86090,1,5786,170,8
40,57259,5,2869,27,5
54,78280,1,4660,168,7
33,32019,11,1692,50,3
52,113079,1,3426,86,6
32,30833,9,1037,26,4
34,48897,9,2825,30,3
65,75735,1,6317,123,8
53,92959,4,7798,58,7
23,10316,11,351,1,2
29,20156,19,577,1,1
27,9693,18,478,4,2
34,53223,8,1408,34,5
22,17329,12,817,15,3
46,45014,6,2508,24,6
21,9622,14,311,3,2
30,41081,5,2721,51,6
53,94889,1,4693,97,8
52,84853,3,5949,104,9
33,37873,8,1696,36,4
24,12662,11,677,2,1
41,34241,5,2745,47,5
27,22545,18,562,10,2
47,110701,1,3751,156,6
21,9150,17,478,19,2
20,22094,13,729,3,1
53,63845,1,7371,30,6
44,53558,9,906,10,3
36,41202,9,2046,47,6
20,8118,15,865,16,1
